timestamp,angle,rpm,pwm
1752367743.220289,218.5,0.0,2.9980849315648976
1752367743.2307022,218.58,1.2804298317918783,2.96315856991221
1752367743.2413456,218.5,-1.2527228469459688,3.038930891682157
1752367743.2522292,218.5,0.0,2.9980244909431866
1752367743.2627816,218.5,0.0,2.998379134404469
1752367743.2736664,218.5,0.0,2.9986692972370714
1752367743.2843883,218.5,0.0,2.9989067031915466
1752367743.2953117,218.5,0.0,2.9991009444274583
1752367743.3059626,218.5,0.0,2.9992598690753756
1752367743.3164673,218.5,0.0,2.9993898983330514
1752367743.327234,218.5,0.0,2.9994962859077496
1752367743.3378398,218.5,0.0,2.999583330287242
1752367743.348532,218.5,0.0,2.9996545484160753
1752367743.3590624,218.5,0.0,2.9997128177943413
1752367743.3698773,218.58,1.232866412410266,2.9658006326205753
1752367743.3803096,218.5,-1.278088795442041,3.0405070835001404
1752367743.3910496,218.5,0.0,2.998629221824102
1752367743.4016442,218.5,0.0,2.998873914217226
1752367743.412229,218.5,0.0,2.999074117084773
1752367743.4228983,218.5,0.0,2.999237919431311
1752367743.433761,218.5,0.0,2.9993719395333223
1752367743.4444065,218.5,0.0,2.9994815923443023
1752367743.455681,218.5,0.0,2.9995713082807582
1752367743.4665961,218.5,0.0,2.9996447122289305
1752367743.4770997,218.5,0.0,2.999704770004841
1752367743.487686,218.5,0.0,2.999753908185241
1752367743.498197,218.5,0.0,2.999794112151112
1752367743.5088859,218.5,0.0,2.99982700630508
1752367743.51936,218.5,0.0,2.9998539197038405
1752367743.5299459,218.5,0.0,2.9998759397574206
1752367743.5410378,218.5,0.0,2.9998939561649354
1752367743.5518727,218.5,0.0,2.999908696862026
1752367743.56262,218.5,0.0,2.9999207574323994
1752367743.5731387,218.5,0.0,2.999930625171818
1752367743.5836575,218.5,0.0,2.9999386987768144
1752367743.5945728,218.5,0.0,2.9999453044536444
1752367743.6054413,218.5,0.0,2.9999507090983357
1752367743.6159685,218.5,0.0,2.9999551310803656
1752367743.6263733,218.5,0.0,2.9999587490656707
1752367743.6372178,218.5,0.0,2.9999617092354725
1752367743.6479588,218.5,0.0,2.999964131192588
1752367743.6583607,218.5,0.0,2.9999661127938695
1752367743.669063,218.5,0.0,2.999967734104012
1752367743.680163,218.5,0.0,2.9999690606304954
1752367743.690677,218.5,0.0,2.9999701459703476
1752367743.7012963,218.5,0.0,2.9999710339756835
1752367743.7119873,218.5,0.0,2.999971760525505
1752367743.722885,218.58,1.2235068988654518,2.9662703068680063
1752367743.7335722,218.5,-1.2475807195235342,3.0397982968851887
1752367743.744527,218.5,0.0,2.998873023551287
1752367743.7550902,218.5,0.0,2.9990733883580933
1752367743.765523,218.5,0.0,2.9992373232003904
1752367743.7759995,218.5,0.0,2.9993714517080226
1752367743.7868361,218.5,0.0,2.999481193214511
1752367743.797865,218.5,0.0,2.999570981720019
1752367743.8088005,218.5,0.0,2.9996444450428705
1752367743.8197243,218.5,0.0,2.9997045513980645
1752367743.830259,218.5,0.0,2.9997537293251506
1752367743.8411064,218.5,0.0,2.9997939658110377
1752367743.8518286,218.5,0.0,2.9998268865722912
1752367743.8626063,218.5,0.0,2.9998538217406496
1752367743.8732133,218.5,0.0,2.999875859605719
1752367743.8837023,218.5,0.0,2.99989389058627
1752367743.8944194,218.5,0.0,2.999908643206754
1752367743.9050179,218.5,0.0,2.9999207135326316
1752367743.9155402,218.5,0.0,2.9999305892538257
1752367743.9262173,218.5,0.0,2.9999386693893664
1752367743.9370604,218.5,0.0,2.999945280409369
1752367743.9477196,218.5,0.0,2.9999506894257464
1752367743.9583807,218.5,0.0,2.9999551149846106
1752367743.969228,218.5,0.0,2.9999587358964166
1752367743.9798834,218.5,0.0,2.9999616984606283
1752367743.9906065,218.5,0.0,2.9999641223768068
1752367744.001233,218.5,0.0,2.999966105580957
1752367744.0119193,218.5,0.0,2.999967728202538
1752367744.0226748,218.5,0.0,2.999969055802017
1752367744.0332403,218.5,0.0,2.9999701420197744
1752367744.0437691,218.5,0.0,2.999971030743396
1752367744.0546162,218.5,0.0,2.9999717578809064
1752367744.0650501,218.5,0.0,2.9999723528115982
1752367744.0757504,218.5,0.0,2.9999728395730743
1752367744.0864143,218.5,0.0,2.9999732378324646
1752367744.0969858,218.5,0.0,2.9999735636810576
1752367744.1077554,218.5,0.0,2.9999738302844525
1752367744.1182723,218.5,0.0,2.999974048414503
1752367744.1288426,218.5,0.0,2.999974226884545
1752367744.139658,218.5,0.0,2.9999743729054886
1752367744.1504693,218.5,0.0,2.99997449237717
1752367744.1611738,218.5,0.0,2.999974590126728
1752367744.1715524,218.5,0.0,2.999974670103639
