timestamp,angle,pwm
1751695701.7527893,142.73,40
1751695701.7556841,129.73,40
1751695701.758385,116.54,40
1751695701.7612145,103.8,40
1751695701.763868,90.18,40
1751695701.766416,77.78,40
1751695701.7690017,66.09,40
1751695701.7716758,54.49,40
1751695701.7741985,43.24,40
1751695701.776852,32.08,40
1751695701.779441,20.65,40
1751695701.7820385,9.32,40
1751695701.7848437,357.8,40
1751695701.7884703,341.46,40
1751695701.7910564,329.24,40
1751695701.7940867,316.32,40
1751695701.7968528,302.87,40
1751695701.7996976,290.04,40
1751695701.8023221,276.24,40
1751695701.8053138,262.79,40
1751695701.8080373,249.17,40
1751695701.8108852,235.55,40
1751695701.813699,221.84,40
1751695701.8165166,208.56,40
1751695701.8191767,194.77,40
1751695701.8221626,181.85,40
1751695701.8248234,168.84,40
1751695701.827613,156.53,40
1751695701.8304298,143.96,40
1751695701.8331842,131.48,40
1751695701.8359828,118.3,40
1751695701.83889,105.56,40
1751695701.8415227,91.93,40
1751695701.844218,79.45,40
1751695701.8467622,67.76,40
1751695701.8492632,56.07,40
1751695701.8518953,44.82,40
1751695701.8552003,31.11,100
1751695701.857593,18.63,100
1751695701.8601763,3.16,100
1751695701.8630235,344.62,100
1751695701.8658912,322.82,100
1751695701.868579,298.48,100
1751695701.8714538,271.23,100
1751695701.873985,242.14,100
1751695701.8769042,212.26,100
1751695701.8797271,182.55,100
1751695701.8825614,153.72,100
1751695701.8849945,123.05,100
1751695701.8876696,92.29,100
1751695701.8902729,60.82,100
1751695701.892871,31.46,100
1751695701.895406,2.72,100
1751695701.8984127,334.95,100
1751695701.900952,302.34,100
1751695701.9035974,267.01,100
1751695701.9065118,228.96,100
1751695701.9093373,193.71,100
1751695701.9120116,160.93,100
1751695701.9151132,128.85,100
1751695701.9174051,93.34,100
1751695701.9198632,60.82,100
1751695701.9226248,29.79,100
1751695701.92521,358.59,100
1751695701.9281583,326.16,100
1751695701.930994,291.71,100
1751695701.933693,253.3,100
1751695701.936516,215.86,100
1751695701.9393816,179.74,100
1751695701.9419725,147.3,100
1751695701.9450169,113.99,100
1751695701.9475386,77.34,100
1751695701.9500606,45.18,100
1751695701.952707,13.36,100
1751695701.955347,343.21,100
1751695701.9585059,309.99,100
1751695701.9610271,274.04,100
1751695701.9637365,236.25,100
1751695701.9665833,199.6,100
1751695701.969302,164.79,100
1751695701.9723468,132.36,100
1751695701.974984,97.91,100
1751695701.9774778,63.63,100
1751695701.9799826,32.17,100
1751695701.982572,1.85,100
1751695701.9854093,331.7,100
1751695701.9881814,297.6,100
1751695701.9909556,259.37,100
1751695701.9936714,221.57,100
1751695701.9964721,186.15,100
1751695701.9993162,152.23,100
1751695702.001896,119.18,100
1751695702.0044808,84.02,100
1751695702.007333,50.27,100
1751695702.0096855,19.42,100
1751695702.012448,350.42,100
1751695702.0153127,316.41,100
1751695702.0180824,281.07,100
1751695702.0208676,243.46,100
1751695702.0237358,205.14,100
1751695702.0264347,171.04,100
1751695702.0291922,138.69,100
1751695702.032054,104.68,100
1751695702.03463,67.94,100
1751695702.0372434,36.3,100
1751695702.039669,5.89,100
1751695702.042508,335.83,100
1751695702.0452485,301.99,100
1751695702.0487454,264.2,100
1751695702.0507693,226.41,100
1751695702.0536468,190.63,100
1751695702.0568845,157.59,100
1751695702.0592349,124.98,100
1751695702.0618181,88.86,100
1751695702.0644035,56.16,100
1751695702.0669582,23.91,100
1751695702.0697725,353.76,100
1751695702.0727186,321.06,100
1751695702.0753832,286.17,100
1751695702.0780048,248.82,100
1751695702.0815675,210.15,100
1751695702.0838618,174.55,100
1751695702.086583,142.21,100
1751695702.0894034,108.46,100
1751695702.0918775,71.81,100
1751695702.0943587,39.9,100
1751695702.0970016,9.49,100
1751695702.0997784,339.43,100
1751695702.1026094,305.95,100
1751695702.1053126,268.51,100
1751695702.1081462,230.71,100
1751695702.1109319,194.59,100
1751695702.1136827,161.37,100
1751695702.1164865,127.71,100
1751695702.1191087,92.99,100
1751695702.1216028,58.97,100
1751695702.1241596,27.77,100
1751695702.1269438,357.63,100
1751695702.1298156,325.11,100
1751695702.13255,289.25,100
1751695702.1353772,252.07,100
1751695702.1381767,214.54,100
1751695702.140862,178.59,100
1751695702.1436493,146.25,100
1751695702.146403,112.85,100
1751695702.149125,77.52,100
1751695702.1516938,44.21,100
1751695702.1541748,13.62,100
1751695702.1568778,343.56,100
1751695702.159745,310.43,100
1751695702.1625144,273.25,100
1751695702.165431,235.55,100
1751695702.1683023,199.07,100
1751695702.170941,165.5,100
1751695702.1736934,132.01,100
1751695702.1762414,97.56,100
1751695702.178934,64.78,100
1751695702.1815875,32.08,100
1751695702.183983,1.85,100
1751695702.1867535,331.79,100
1751695702.1895552,297.77,100
1751695702.1923137,261.04,100
1751695702.1950784,223.33,100
1751695702.1981704,187.82,100
1751695702.2008698,153.9,100
1751695702.2035592,119.88,100
1751695702.2062497,84.81,100
1751695702.2086625,51.15,100
1751695702.2112844,20.39,100
1751695702.214003,350.33,100
1751695702.2169278,317.46,100
1751695702.2196639,282.3,100
1751695702.222488,244.86,100
1751695702.2252133,206.54,100
1751695702.22796,172.35,100
1751695702.2308002,140.19,100
1751695702.233665,106.35,100
1751695702.2363033,69.7,100
1751695702.2388983,37.97,100
1751695702.242323,358.42,100
1751695702.2451265,324.67,100
1751695702.2481816,290.13,100
1751695702.2509313,251.63,100
1751695702.2536733,214.19,100
1751695702.2563608,178.24,100
1751695702.2592576,145.99,100
1751695702.2620056,111.36,100
1751695702.264849,76.03,100
1751695702.2672799,43.95,100
1751695702.2699938,12.3,100
1751695702.2725322,342.25,100
1751695702.2753894,308.94,100
1751695702.2780788,271.76,100
1751695702.2814963,234.05,100
1751695702.2840252,197.75,100
1751695702.2867086,163.13,100
1751695702.2895036,129.55,100
1751695702.292048,95.01,100
1751695702.294688,62.23,100
1751695702.2973156,30.85,100
1751695702.3000374,359.56,100
1751695702.3028438,327.04,100
1751695702.3056715,292.68,100
1751695702.3083563,255.67,100
1751695702.3112109,216.83,100
1751695702.3150027,181.85,100
1751695702.316877,148.18,100
1751695702.3197384,115.05,100
1751695702.3221729,79.72,100
1751695702.3247306,46.32,100
1751695702.3273616,15.64,100
1751695702.3301444,345.67,100
1751695702.3330796,312.63,100
1751695702.3357348,275.71,100
1751695702.3387003,238.1,100
1751695702.3413987,200.13,100
1751695702.3440454,166.55,100
1751695702.3469517,134.21,100
1751695702.3495746,98.79,100
1751695702.3521125,64.6,100
1751695702.3547144,33.13,100
1751695702.3571851,2.99,100
1751695702.3600326,332.84,100
1751695702.362927,299.0,100
1751695702.365707,262.35,100
1751695702.36844,223.24,100
1751695702.37131,187.82,100
1751695702.3740075,155.04,100
1751695702.3767798,121.03,100
1751695702.3793828,86.04,100
1751695702.3820632,53.53,100
1751695702.3844392,22.59,100
1751695702.3873606,351.39,100
1751695702.3902526,318.6,100
1751695702.392852,283.54,100
1751695702.3958023,244.86,100
1751695702.39862,207.69,100
1751695702.4012365,172.35,100
1751695702.4042926,140.1,100
1751695702.4071336,106.26,100
1751695702.4095309,69.61,100
1751695702.4122252,37.88,100
1751695702.4149697,7.56,100
1751695702.4175203,337.5,100
1751695702.4202287,303.93,100
1751695702.4232044,266.31,100
1751695702.4259543,228.6,100
1751695702.4287841,192.66,100
1751695702.4319327,158.47,100
1751695702.4344301,125.86,100
1751695702.4368455,89.82,100
1751695702.439679,55.99,100
1751695702.442073,24.96,100
1751695702.4449868,354.81,100
1751695702.4479346,321.06,100
1751695702.4503677,286.17,100
1751695702.4533718,248.82,100
1751695702.4562197,210.23,100
1751695702.4589477,175.78,100
1751695702.461731,142.38,100
1751695702.464846,108.72,100
1751695702.467068,73.39,100
1751695702.469649,40.25,100
1751695702.4723396,9.84,100
1751695702.4750926,340.93,100
1751695702.4778955,306.39,100
1751695702.4807248,268.95,100
1751695702.4833813,231.24,100
1751695702.4862773,195.12,100
1751695702.4891393,160.66,100
1751695702.4918015,128.23,100
1751695702.4943295,93.6,100
1751695702.4970384,59.59,100
1751695702.4995055,28.39,100
1751695702.5022047,358.24,100
1751695702.5051844,325.72,100
1751695702.507856,289.86,100
1751695702.510685,251.46,100
1751695702.5134416,214.01,100
1751695702.516427,179.3,100
1751695702.5191457,145.72,100
1751695702.52206,112.32,100
1751695702.5247185,75.76,100
1751695702.5272145,42.54,100
1751695702.5295732,12.04,100
1751695702.5325215,341.98,100
1751695702.53527,308.67,100
1751695702.5380733,272.81,100
1751695702.5407887,235.11,100
1751695702.5436704,197.49,100
1751695702.5462909,164.0,100
1751695702.5492604,131.66,100
1751695702.5517328,95.98,100
1751695702.5544875,63.19,100
1751695702.5569174,31.73,100
1751695702.5596,1.58,100
1751695702.5623305,331.44,100
1751695702.5651183,296.19,100
1751695702.5678985,259.37,100
1751695702.5708,220.34,100
1751695702.5735044,185.19,100
1751695702.5762846,151.35,100
1751695702.5790222,118.3,100
1751695702.595262,83.23,100
1751695702.6036065,49.57,100
1751695702.610434,18.9,100
1751695702.6115985,347.61,100
1751695702.6119678,314.74,100
1751695702.6123316,279.32,100
1751695702.6134882,240.38,100
1751695702.613944,203.55,100
1751695702.61447,168.49,100
1751695702.614858,136.23,100
1751695702.6151898,100.9,100
1751695702.6155066,65.57,100
1751695702.616004,34.01,100
1751695702.6168213,3.78,100
1751695702.6196966,333.72,100
1751695702.6224914,299.79,100
1751695702.625259,261.91,100
1751695702.6280832,222.89,100
1751695702.6311302,187.47,100
1751695702.6336796,154.69,100
1751695702.636477,120.67,100
1751695702.639143,85.61,100
1751695702.6416526,51.94,100
1751695702.644214,21.09,100
1751695702.6495976,351.04,100
1751695702.6507144,318.25,100
1751695702.652531,283.18,100
1751695702.6553652,244.34,100
1751695702.6582344,207.25,100
1751695702.6610227,173.06,100
1751695702.6638157,139.66,100
1751695702.666628,104.59,100
1751695702.6692855,69.17,100
1751695702.671824,37.44,100
1751695702.674411,5.98,100
1751695702.6771743,335.92,100
1751695702.6801436,302.17,100
1751695702.6829429,265.78,100
1751695702.6858172,226.76,100
1751695702.6885328,189.76,100
1751695702.6913593,155.74,100
1751695702.6941047,122.96,100
1751695702.6979413,77.87,100
1751695702.7004802,44.56,100
1751695702.702891,13.97,100
1751695702.7055068,344.0,100
1751695702.7081966,310.78,100
1751695702.711032,273.78,100
1751695702.7139359,236.07,100
1751695702.7166438,198.37,100
1751695702.7193604,163.65,100
1751695702.7222452,131.31,100
1751695702.7248766,96.86,100
1751695702.7275186,62.75,100
1751695702.7301612,31.38,100
1751695702.732678,1.23,100
1751695702.7355845,331.08,100
1751695702.7382133,296.98,100
1751695702.740927,260.24,100
1751695702.743781,222.54,100
1751695702.7466364,187.12,100
1751695702.7492898,153.28,100
1751695702.7519977,120.41,100
1751695702.7547529,85.34,100
1751695702.7570796,52.82,100
1751695702.7598543,21.97,100
1751695702.7626688,351.91,100
1751695702.765541,319.13,100
1751695702.7682462,282.74,100
1751695702.7708406,245.39,100
1751695702.7736416,206.98,100
1751695702.776399,172.79,100
1751695702.77921,140.54,100
1751695702.782211,106.79,100
1751695702.7846286,70.14,100
1751695702.7872877,38.41,100
1751695702.7899532,8.0,100
1751695702.792588,337.94,100
1751695702.7953775,304.45,100
1751695702.7984498,266.92,100
1751695702.800957,229.13,100
1751695702.8037622,193.18,100
1751695702.8065343,160.05,100
1751695702.809283,126.39,100
1751695702.8118482,91.67,100
1751695702.814926,57.66,100
1751695702.8170733,26.54,100
1751695702.819817,356.48,100
1751695702.822699,323.88,100
1751695702.8253093,289.25,100
1751695702.8281946,252.07,100
1751695702.8309586,213.31,100
1751695702.8338118,178.68,100
1751695702.8364697,146.34,100
1751695702.83921,112.94,100
1751695702.8418884,76.38,100
1751695702.8444688,44.38,100
1751695702.8469846,13.8,100
1751695702.849754,343.74,100
1751695702.8524938,310.61,100
1751695702.8552659,273.52,100
1751695702.8581026,235.9,100
1751695702.8608377,199.42,100
1751695702.8635802,164.71,100
1751695702.8663995,132.36,100
1751695702.8689482,98.0,100
1751695702.8716102,63.98,100
1751695702.8741822,32.52,100
1751695702.876721,2.29,100
1751695702.8794634,332.14,100
1751695702.8823493,298.21,100
1751695702.8851192,260.24,100
1751695702.8878455,222.54,100
1751695702.8905666,187.12,100
1751695702.8934004,153.28,100
1751695702.896188,120.41,100
1751695702.8987973,85.34,100
1751695702.901452,51.68,100
1751695702.903935,20.83,100
1751695702.9068165,350.77,100
1751695702.9095511,317.99,100
1751695702.9123297,281.51,100
1751695702.915164,244.07,100
1751695702.9179711,206.98,100
1751695702.9207144,172.79,100
1751695702.9234834,139.39,100
1751695702.9263618,104.33,100
1751695702.928907,68.91,100
1751695702.9315934,37.27,100
1751695702.9341261,6.94,100
1751695702.936875,336.88,100
1751695702.9396677,303.22,100
